book_order,book,chapter,verse,reference,syriac
1,Genesis,4,25,Genesis 4:25,וידע אדם עוד ית אתתה וילידת בר וקרת ית שמה שת ארי אמרת יהב לי יי בר אוחרן חלף הבל דקטלה קין:
1,Genesis,4,26,Genesis 4:26,ולשת אף הוא אתיליד בר וקרא ית שמה אנוש בכן ביומוהי חלו בני אנשא מלצלאה בשמא דיי:
1,Genesis,5,1,Genesis 5:1,דין ספר תולדת אדם ביומא דברא יי אדם בדמות אלהים עבד יתה:
1,Genesis,5,2,Genesis 5:2,דכר ונוקבא בראנון ובריך יתהון וקרא ית שמהון אדם ביומא דאתבריאו:
1,Genesis,5,3,Genesis 5:3,וחיא אדם מאה ותלתין שנין ואוליד בדמותה דדמי לה וקרא ית שמה שת:
1,Genesis,5,4,Genesis 5:4,והוו יומי אדם בתר דאוליד ית שת תמני מאה שנין ואוליד בנין ובנן:
1,Genesis,5,5,Genesis 5:5,והוו כל יומי אדם דחיא תשע מאה ותלתין שנין ומית:
1,Genesis,5,6,Genesis 5:6,וחיא שת מאה וחמש שנין ואוליד ית אנוש:
1,Genesis,5,7,Genesis 5:7,וחיא שת בתר דאוליד ית אנוש תמני מאה ושבע שנין ואוליד בנין ובנן:
1,Genesis,5,8,Genesis 5:8,והוו כל יומי שת תשע מאה ותרתי עשרי שנין ומית:
1,Genesis,5,9,Genesis 5:9,וחיא אנוש תשעין שנין ואוליד ית קינן:
1,Genesis,5,10,Genesis 5:10,וחיא אנוש בתר דאוליד ית קינן תמני מאה וחמש עשרי שנין ואוליד בנין ובנן:
1,Genesis,5,11,Genesis 5:11,והוו כל יומי אנוש תשע מאה וחמש שנין ומית:
1,Genesis,5,12,Genesis 5:12,וחיא קינן שבעין שנין ואוליד ית מהללאל:
1,Genesis,5,13,Genesis 5:13,וחיא קינן בתר דאוליד ית מהללאל תמני מאה וארבעין שנין ואוליד בנין ובנן:
1,Genesis,5,14,Genesis 5:14,והוו כל יומי קינן תשע מאה ועשר שנין ומית:
1,Genesis,5,15,Genesis 5:15,וחיא מהללאל שתין וחמש שנין ואוליד ית ירד:
1,Genesis,5,16,Genesis 5:16,וחיא מהללאל בתר דאוליד ית ירד תמני מאה ותלתין שנין ואוליד בנין ובנן:
1,Genesis,5,17,Genesis 5:17,והוו כל יומי מהללאל תמני מאה ותשעין וחמש שנין ומית:
1,Genesis,5,18,Genesis 5:18,וחיא ירד מאה ושתין ותרתין שנין ואוליד ית חנוך:
1,Genesis,5,19,Genesis 5:19,וחיא ירד בתר דאוליד ית חנוך תמני מאה שנין ואוליד בנין ובנן:
1,Genesis,5,20,Genesis 5:20,והוו כל יומי ירד תשע מאה ושתין ותרתין שנין ומית:
1,Genesis,5,21,Genesis 5:21,וחיא חנוך שתין וחמש שנין ואוליד ית מתושלח:
1,Genesis,5,22,Genesis 5:22,והליך חנוך בדחלתא דיי בתר דאוליד ית מתושלח תלת מאה שנין ואוליד בנין ובנן:
1,Genesis,5,23,Genesis 5:23,והוה כל יומי חנוך תלת מאה ושתין וחמש שנין:
1,Genesis,5,24,Genesis 5:24,והליך חנוך בדחלתא דיי וליתוהי ארי אמית יתה יי:
1,Genesis,5,25,Genesis 5:25,וחיא מתושלח מאה ותמנין ושבע שנין ואוליד ית למך:
1,Genesis,5,26,Genesis 5:26,וחיא מתושלח בתר דאוליד ית למך שבע מאה ותמנין ותרתין שנין ואוליד בנין ובנן:
1,Genesis,5,27,Genesis 5:27,והוו כל יומי מתושלח תשע מאה ושתין ותשע שנין ומית:
1,Genesis,5,28,Genesis 5:28,וחיא למך מאה ותמנין ותרתין שנין ואוליד בר:
1,Genesis,5,29,Genesis 5:29,וקרא ית שמה נח למימר דין ינחמננא מעובדנא ומלאות ידנא מן ארעא די לטטה יי:
1,Genesis,5,30,Genesis 5:30,וחיא למך בתר דאוליד ית נח חמש מאה ותשעין וחמש שנין ואוליד בנין ובנן:
1,Genesis,5,31,Genesis 5:31,והוו כל יומי למך שבע מאה ושבעין ושבע שנין ומית:
1,Genesis,5,32,Genesis 5:32,והוה נח בר חמש מאה שנין ואוליד נח ית שם ית חם וית יפת:
1,Genesis,6,1,Genesis 6:1,והוה כד שריאו בני אנשא למסגי על אפי ארעא ובנתא אתילידו להון:
1,Genesis,6,2,Genesis 6:2,וחזו בני רברביא ית בנת אנשא ארי שפירן אנון ונסיבו להון נשין מכל די אתרעיאו:
1,Genesis,6,3,Genesis 6:3,ואמר יי לא יתקים דרא בישא הדין קדמי לעלם בדיל דאנון בשרא ועובדיהון בישיא ארכא יהיבת להון מאה ועשרין שנין אם יתובון:
1,Genesis,6,4,Genesis 6:4,גבריא הוו בארעא ביומיא האנון ואף בתר כן די יעלון בני רברביא לות בנת אנשא וילידן להון אנון גבריא דמעלמא אנשין דשמא:
1,Genesis,6,5,Genesis 6:5,וחזא יי ארי סגיאת בישת אנשא בארעא וכל יצרא מחשבת לבה לחוד ביש כל יומא:
1,Genesis,6,6,Genesis 6:6,ותב יי במימרה ארי עבד ית אנשא בארעא ואמר במימרה למתבר תקפהון כרעותה:
1,Genesis,6,7,Genesis 6:7,ואמר יי אמחי ית אנשא די בראתי מעל אפי ארעא מאנשא עד בעירא עד ריחשא ועד עופא דשמיא ארי תבית במימרי ארי עבדתנון:
1,Genesis,6,8,Genesis 6:8,ונח אשכח רחמין קדם יי:
1,Genesis,6,9,Genesis 6:9,אלין תולדת נח נח גבר זכאי שלים הוה בדרוהי בדחלתא דיי הליך נח:
1,Genesis,6,10,Genesis 6:10,ואוליד נח תלתא בנין ית שם ית חם וית יפת:
1,Genesis,6,11,Genesis 6:11,ואתחבלת ארעא קדם יי ואתמליאת ארעא חטופין:
1,Genesis,6,12,Genesis 6:12,וחזא יי ית ארעא והא אתחבלת ארי חבילו כל בשרא אנש ית ארחה על ארעא:
1,Genesis,6,13,Genesis 6:13,ואמר יי לנח קצא דכל בשרא עלת לקדמי ארי אתמליאת ארעא חטופין מן קדם עובדיהון בישיא והא אנא מחבלהון עם ארעא:
1,Genesis,6,14,Genesis 6:14,עיבד לך תבותא דאעין דקדרום מדורין תעבד ית תבותא ותחפי יתה מגו ומברא בכפרא:
1,Genesis,6,15,Genesis 6:15,ודין דתעבד יתה תלת מאה אמין אורכא דתבותא חמשין אמין פתיה ותלתין אמין רומה:
1,Genesis,6,16,Genesis 6:16,נהור תעביד לתבותא ולאמתא תשכללנה מלעלא ותרעא דתבותא בסטרה תשוי מדורין ארעין תנינין ותליתאין תעבדנה:
1,Genesis,6,17,Genesis 6:17,ואנא הא אנא מיתי ית טופנא מיא על ארעא לחבלא כל בשרא די ביה רוחא דחיי מתחות שמיא כל די בארעא ימות:
1,Genesis,6,18,Genesis 6:18,ואקם ית קימי עמך ותעול לתבותא את ובנך ואתתך ונשי בנך עמך:
1,Genesis,6,19,Genesis 6:19,ומכל דחי מכל בשרא תרין מכלא תעיל לתבותא לקימא עמך דכר ונקבא יהון:
1,Genesis,6,20,Genesis 6:20,מעופא לזנוהי ומן בעירא לזנה ומכל רחשא דארעא לזנוהי תרין מכלא יעלון לותך לקימא:
1,Genesis,6,21,Genesis 6:21,ואת סב לך מכל מיכל דמתאכל ותכנוש לותך ויהי לך ולהון למיכל:
1,Genesis,6,22,Genesis 6:22,ועבד נח ככל די פקיד יתיה יי כן עבד:
1,Genesis,7,1,Genesis 7:1,ואמר יי לנח עול את וכל אנש ביתך לתבותא ארי יתך חזיתי זכאי קדמי בדרא הדין:
1,Genesis,7,2,Genesis 7:2,מכל בעירא דכיא תסב לך שבעא שבעא דכר ונקבא ומן בעירא דלא דכיא היא תרין דכר ונקבא:
1,Genesis,7,3,Genesis 7:3,אף מעופא דשמיא שבעא שבעא דכר ונקבא לקימא זרעא על אפי כל ארעא:
1,Genesis,7,4,Genesis 7:4,ארי לזמן יומין עוד שבעא אנא מחת מטרא על ארעא ארבעין יממין וארבעין לילון ואמחי ית כל יקומא די עבדת מעל אפי ארעא:
1,Genesis,7,5,Genesis 7:5,ועבד נח ככל די פקדיה יי:
1,Genesis,7,6,Genesis 7:6,ונח בר שת מאה שנין וטופנא הוה מיא על ארעא:
1,Genesis,7,7,Genesis 7:7,ועאל נח ובנוהי ואתתיה ונשי בנוהי עמיה לתבותא מן קדם מי טופנא:
1,Genesis,7,8,Genesis 7:8,מן בעירא דכיא ומן בעירא די ליתהא דכיא ומן עופא וכל די רחש על ארעא:
1,Genesis,7,9,Genesis 7:9,תרין תרין עלו לות נח לתבותא דכר ונקבא כמא די פקיד יי ית נח:
1,Genesis,7,10,Genesis 7:10,והוה לזמן שבעת יומין ומי טופנא הוו על ארעא:
